AAMAS01g,Chairs' Welcome,,,,Edith,,Elkind,University of Oxford,Manuela,,Veloso,CMU and JPMorgan,Noa,,Agmon,Bar Ilan University,Matthew,E,Taylor,Washington State University and Borealis AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN01a,Synthesizing Explainable Behavior for Human-AI Collaboration,,"As AI technologies enter our everyday lives at an ever increasing pace, there is a greater need for AI systems to work synergistically with humans.  This requires AI systems to exhibit behavior that is explainable to humans. Synthesizing such behavior requires AI systems to reason not only with their own models of the task at hand, but also about the mental models of the human collaborators. Using several case-studies from our ongoing research, I will discuss how such multi-model planning forms the basis for explainable behavior.",Explicability; Explanation; Human-AI Interaction; Human-AI Collaboration,Subbarao,,Kambhampati,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN02c,Preferences and Ethical Priorities: Thinking Fast and Slow in AI,,"In AI, the ability to model and reason with preferences allows for more personalized services. Ethical priorities are also essential, if we want AI systems to make decisions that are ethically acceptable. Both data-driven and symbolic methods can be used to model preferences and ethical priorities, and to combine them in the same system, as two agents that need to cooperate. We describe two approaches to design AI systems that can reason with both preferences and ethical priorities. We then generalize this setting to follow Kahneman's theory of thinking fast and slow in the human's mind. According to this theory, we make decision by employing and combining two very different systems: one accounts for intuition and immediate but imprecise actions, while the other one models correct and complex logical reasoning. We discuss how such two systems could possibly be exploited and adapted to design machines that allow for both data-driven and logical reasoning, and exhibit degrees of personalized and ethically acceptable behavior.
",Multi-agent system; Knowledge Representation; Decision Theory,Francesca,,Rossi,IBM Research,Andrea,,Loreggia,University of Padova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN03e,Responsible Autonomy,,"
The main challenge that artificial intelligence research is facing nowadays is how to guarantee the development of responsible technology. And, in particular, how to guarantee that autonomy is responsible. The social fears on the actions taken by AI can only be appeased by providing ethical certification and transparency of systems. (See for instance the Barcelona declaration https://www.iiia.csic.es/barcelonadeclaration/) However, this is certainly not an easy task. As we very well know in the multiagent systems field, the prediction accuracy of system outcomes has limits as multiagent systems are actually examples of complex systems. And AI will be social, there will be thousands of AI systems interacting among themselves and with a multitude of humans; AI will necessarily be multiagent.

Although we cannot provide complete guarantees on outcomes, we must be able to define with accuracy what autonomous behaviour is acceptable (ethical), to provide repair methods for anomalous behaviour and to explain the rationale of AI decisions. Ideally, we should be able to guarantee responsible behaviour of individual AI systems by construction.

I understand by an ethical AI system one that is capable of deciding what are the most convenient norms, abide by them and make them evolve and adapt. The area of multiagent systems has developed a number of theoretical and practical tools that properly combined can provide a path to develop such systems, that is, provide means to build ethical-by-construction systems: agreement technologies to decide on acceptable ethical behaviour, normative frameworks to represent and reason on ethics, and electronic institutions to operationalise ethical interactions. Along my career, I have contributed with tools on these three areas. In this keynote, I will describe a methodology to support their combination that incorporates some new ideas from law, and organisational theory.
",Responsible AI; Agreement Technologies; Normative Systems,Carles,,Sierra,IIIA-CSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc01,Empathic Agents: A Hybrid Normative/Consequentialistic Approach,,"Complex information systems operate with increasing degrees of autonomy. Consequently, such systems should not only optimize for simple metrics (like clicks and views) that reflect the system provider's preferences but also consider norms or rules, as well as the preferences of other agents that are affected by the systems' actions. As a means to achieve such behavior, we propose the design and development of empathic agents that use a mixed rule/utility-based approach when deciding on how to act, considering both their own and others' utility functions. The agents make use of formal argumentation to reach an agreement on how to act in case of inconsistent beliefs. A promising domain for applying our empathic agents is recommender systems.",Agent architectures; Agent-oriented software engineering; Argumentation,Timotheus,,Kampik,Umeå University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc02,Integrating Agent Advice and Previous Task Solutions in Multiagent Reinforcement Learning,,"Reinforcement learning methods have successfully been applied to build autonomous agents that solve challenging sequential decision-making problems. However, agents need a long time to learn a task, especially when multiple autonomous agents are in the environment. This research aims to propose a Transfer Learning framework to accelerate learning by combining two knowledge sources: (i) previously learned tasks; and (ii) advice from a more experienced agent. The definition of such framework requires answering several challenging research questions, including: How to abstract and represent knowledge, in order to allow generalization and posterior reuse?, How and when to transfer and receive knowledge in an efficient manner?, and How to consistently combine knowledge from several sources?",Transfer Learning; Reinforcement Learning; Multiagent Learning,Felipe,Leno Da,Silva,University of Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc03,Multi-Agent Coordination under Uncertain Communication,,"Multi-agent coordination problems have many layers of complexity that make them interesting research problems. What uniquely separates multi-agent coordination problems from large single-agent planning and execution problems is that in multi-agent problems, different agents have different understandings of global state. The way that diverging beliefs are reconciled is through communication. My thesis builds a real-time executive that manages and reasons about communication between agents and provides the supplementing theory to prove that these algorithms are practical and efficient.",Single and multiagent planning and scheduling; Coordination and control models for multiagent systems,Nikhil,,Bhargava,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc04,Teaching Agents Through Correction,,We motivate and describe a novel task which is modelled on interactions between apprentices and expert teachers. In the task an agent must learn to build towers constrained by rules. The teacher provides verbal corrective feedback from which the agent learns. The agent starts out unaware of the constraints as well as the domain concepts in which the constraints are expressed. Therefore an agent that takes advantage of the linguistic evidence must  learn the denotations of neologisms and adapt its conceptualisation of the planning domain to incorporate those denotations.  We show that an agent which does utilise linguistic evidence outperforms a strong baseline which does not.,human-robot interaction; interactive learning; knowledge representation and reasoning,Mattias,,Appelgren,University of Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc05,Sharing is Caring: Dynamic Mechanism for Shared Resource Ownership,Doctoral Consortium,"Shared ownership of computing resources has long been in the practice; here, multiple agents pool their resources together to achieve high utility and low wastefulness. Sharing incentive, non-wastefulness and strategyproofness are three of the most desirable properties for a feasible system. However, Freeman et al. [2018] showed the fact that these three properties are incompatible in a dynamic setting and thus, a trade off must be maintained. In this work, we propose a dynamic allocation mechanism which fairly allocates the shared resources among the agents, and partially satisfies the above desiderata. Our mechanism outperforms the mechanisms proposed by Freeman et al. [2018] in the single resource case in terms of social welfare both in synthetic and real-life data. We also show that in the single resource case, our mechanism allocates the resources in a way that creates a market equilibrium and thus naturally satisfies several additional properties.",Algorithmic Game Theory; Resource Allocation; Market Mechanism,Ridi,,Hossain,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc06,Mechanism Design with Unstructured Beliefs,,"Mechanism design is the task to design algorithms, toward desired objectives, that is robust to potential manipulation by strategic players. Traditionally, it is assumed that the mechanism designer and the players in the economy share some common knowledge. However, as pointed out by Wilson, such common knowledge is ``rarely present in experiments and never in practice'', and ``only by repeated weakening of common knowledge assumptions will the theory approximate reality.'' In the work, we mainly focus on designing resilient mechanisms that work properly even in such a less foreseeable environment.

Bayesian auction design is a very flourishing topic in the field of mechanism design, where an important simplifying assumption is both the seller and the players know the exact distributions of all players' valuations. In this work we first consider the {\em query complexity} of Bayesian mechanisms, where we only allow the seller to have limited oracle accesses to the players' value distributions via simple queries. Then we further weaken the assumption by considering an information structure where the knowledge about the distributions can be {\em arbitrarily scattered} among the players. In both of these two unstructured information settings, we design mechanisms that are constant approximations to the optimal Bayesian mechanisms with full information.


Finally, we study an envy-free allocation problem that the unstructured beliefs need to be taken into consideration. In particular, we model an environment where each player is unaware of the bundles (or allocated items) of other players, but still knows he does not receive the worst bundle. We present both conceptual and algorithmic results for this new envy-free allocation domain.",Bayesian Auction; Query Complexity; Information Elicitation; Fair Allocation; Maximin-Aware Allocation,Bo,,Li,Stony Brook University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
