General Chairs:,"Edith Elkind (University of Oxford, UK) "
,"Manuela Veloso (CMU (on leave), JPMorgan, USA) "
Program Chairs:,"Noa Agmon (Bar-Ilan University, Israel) "
,"Matthew E. Taylor (Borealis AI, Canada) "
Robotics Track Chairs:,"Joydeep Biswas (University of Massachusetts at Amherst, USA) "
,"Mohan Sridharan (University of Birmingham, UK) "
Socially Interactive Agents Track Chairs:,"Ana Paiva (INESC-ID, IST, University of Lisbon, Portugal)"
,"David Sarne (Bar-Ilan University, Israel) "
Engineering Multiagent Systems Track Chairs:,"Amal El Fallah Seghrouchni (Sorbonne University and CNRS, France)"
,"Michael Winikoff (University of Otago, New Zealand) "
Industrial Applications Track Chairs:,"Bo An (Nanyang Technological University, Singapore)"
,"Yoram Bachrach (DeepMind, UK) "
Blue Sky Ideas Track Chair:,"Catholijn Jonker (Delft University of Technology, The Netherlands) "
JAAMAS Track Chair:,"Kagan Tumer (Oregon State University, USA) "
 Finance Chair:,"Yevgeniy Vorobeychik (Washington University in St. Louis, USA)"
Publicity Chair:,"Stefano Albrecht (University of Edinburgh, UK)"
Publication Chair:,"Frans Oliehoek (Delft University of Technology, The Netherlands) "
Tutorial Chairs:,"Piotr Faliszewski (AGH University of Science and Technology, Poland)"
,"Francisco Melo (INESC-ID, IST, University of Lisbon, Portugal)"
Workshop Chairs:,"Kobi Gal (Ben Gurion University of the Negev, Israel)"
,"Ece Kamar (Microsoft Research, USA) "
Exhibition Chair:,"Georgios Chalkiadakis (Technical University of Crete, Greece) "
Demonstration Chairs:,"Julie Porteous (RMIT, Australia)"
,"Pradeep Varakantham (Singapore Management University, Singapore) "
Scholarship Chair:,"Nicola Basilico (University of Milan, Italy)"
,"Julie Shah (MIT, USA) "
Doctoral Consortium Chairs:,"Madalina Croitoru (University of Montpellier, France)"
,"William Yeoh (Washington University in St. Louis, USA) "
Sponsorship Chairs:,"John Dickerson (University of Maryland, USA) "
,"Pingzhong Tang (Tsinghua University, China)"
,"Long Tran-Thanh (University of Southampton, UK) "
Local Arrangements Chairs:,"Jamal Bentahar (Concordia University, Canada)"
,"Jia Yuan Yu (Concordia University, Canada) "
Local Arrangements Support:,"Jessica Dahbi (Concordia University, Canada) "
Webmaster:,"Faryed Eltayesh (Concordia University, Canada) "
